dataset_name;solution_1;solution_2;solution_3;solution_4;solution_5;solution_6;solution_7;solution_8;solution_9;solution_10;max;gap_1;gap_2;gap_3;gap_4;gap_5;gap_6;gap_7;gap_8;gap_9;gap_10;avg_gap;norm_avg_gap;is_best_1;is_best_2;is_best_3;is_best_4;is_best_5;is_best_6;is_best_7;is_best_8;is_best_9;is_best_10;sum_is_best
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_160_v_2\115rat575_v2_p1.msop;574;574;574;574;574;574;574;574;574;574;574;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_160_v_2\115rat575_v2_p2.msop;29033;29033;29033;29033;29033;29033;29033;29033;29033;29033;29033;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_160_v_2\115u574_v2_p1.msop;573;573;573;573;573;573;573;573;573;573;573;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_160_v_2\115u574_v2_p2.msop;28957;28957;28957;28957;28957;28957;28957;28957;28957;28957;28957;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_160_v_2\11berlin52_v2_p1.msop;51;51;51;51;51;51;51;51;51;51;51;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_160_v_2\11berlin52_v2_p2.msop;2608;2608;2608;2608;2608;2608;2608;2608;2608;2608;2608;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_160_v_2\11eil51_v2_p1.msop;50;50;50;50;50;50;50;50;50;50;50;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_160_v_2\11eil51_v2_p2.msop;2575;2575;2575;2575;2575;2575;2575;2426;2575;2575;2575;0;0;0;0;0;0;0;0,057864078;0;0;0,005786408;0,100000003;1;1;1;1;1;1;1;0;1;1;9
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_160_v_2\131p654_v2_p1.msop;653;653;653;653;653;653;653;653;653;653;653;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_160_v_2\131p654_v2_p2.msop;32997;32997;32997;32997;32997;32997;32997;32997;32997;32997;32997;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
